,City,Country,Date,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
38,Punta Arenas,CL,1571272876,-53.16,-70.91,44.6,87,2,8.05
39,Koumra,TD,1571272877,8.92,17.55,71.11,95,98,4.32
40,Dikson,RU,1571272877,73.51,80.55,25.59,71,100,14.64
41,Lompoc,US,1571272877,34.64,-120.46,75.99,72,1,12.75
42,Chapais,CA,1571272878,49.78,-74.86,39.2,100,90,10.29
43,Rawson,AR,1571272878,-43.3,-65.11,53.15,72,0,28.73
44,Cody,US,1571272878,44.53,-109.06,63.0,28,1,12.75
45,Khatanga,RU,1571272878,71.98,102.47,2.39,86,22,0.82
46,Casablanca,MA,1571272879,33.6,-7.62,64.0,82,0,4.7
47,Zalantun,CN,1571272879,48.0,122.72,44.92,43,0,3.25
48,Castro,CL,1571272879,-42.48,-73.76,48.2,76,20,9.17
49,Utena,LT,1571272879,55.5,25.6,56.5,90,73,13.44
50,Cape Town,ZA,1571272880,-33.93,18.42,63.0,93,20,13.87
51,Vaini,IN,1571272880,15.34,74.49,69.8,100,40,4.7
52,Chokurdakh,RU,1571272880,70.62,147.9,11.52,86,0,8.63
53,Gweta,BW,1571272881,-20.21,25.26,70.23,34,0,13.33
54,Coquimbo,CL,1571272881,-29.95,-71.34,53.6,87,20,6.93
55,Barrow,AR,1571272881,-38.31,-60.23,51.91,87,89,9.27
56,Nikolskoye,RU,1571272881,59.7,30.79,42.8,81,90,6.71
57,Georgetown,GY,1571272882,6.8,-58.16,82.4,83,40,9.17
58,Kabare,RW,1571272882,-1.65,29.38,52.54,84,64,0.44
59,Torbay,CA,1571272882,47.66,-52.73,50.0,93,90,10.29
60,Severo-Kurilsk,RU,1571272883,50.68,156.12,38.16,77,24,15.53
61,Neiafu,TO,1571272883,-18.65,-173.98,82.4,78,40,6.93
62,Tasiilaq,GL,1571272883,65.61,-37.64,30.2,63,2,1.99
63,Katsuura,JP,1571272884,33.93,134.5,69.01,72,75,8.05
64,Hargeysa,SO,1571272884,9.56,44.06,65.97,80,3,6.78
65,Upernavik,GL,1571272884,72.79,-56.15,27.23,75,100,6.27
66,Quatre Cocos,MU,1571272884,-20.21,57.76,68.0,87,73,1.01
67,Kapaa,US,1571272885,22.08,-159.32,77.0,94,75,14.99
68,Kieta,PG,1571272885,-6.22,155.63,82.74,74,93,5.46
69,Hasaki,JP,1571272885,35.73,140.83,64.4,77,40,10.29
70,Gravdal,NO,1571272886,59.79,5.78,53.01,76,69,11.41
71,Balkhash,KZ,1571272886,46.84,74.98,56.88,56,100,20.58
72,Yangjiang,CN,1571272886,21.85,111.96,73.17,83,7,4.53
73,Bethel,US,1571272887,60.79,-161.76,42.8,75,40,12.75
74,Ust-Nera,RU,1571272887,64.57,143.24,-3.77,99,100,4.78
75,Ternate,PH,1571272887,14.29,120.72,87.01,66,20,3.36
76,Sivas,TR,1571272887,39.75,37.01,51.8,53,20,4.7
77,Mantua,IT,1571272888,45.16,10.79,59.0,100,41,3.36
78,Battle Creek,US,1571272888,42.32,-85.18,46.99,81,75,14.99
79,Martapura,ID,1571272888,-3.41,114.85,81.34,67,86,1.78
80,Lavrentiya,RU,1571272889,65.58,-170.99,34.34,62,100,18.86
81,Bathsheba,BB,1571272889,13.22,-59.52,80.6,83,20,5.82
82,Yerbogachen,RU,1571272889,61.28,108.01,37.56,97,100,4.98
83,Yellowknife,CA,1571272890,62.45,-114.38,33.8,99,90,5.82
84,Kargat,RU,1571272890,55.19,80.28,40.64,85,99,14.65
85,Sioux Lookout,CA,1571272890,50.1,-91.92,37.4,83,90,3.36
86,Ponta do Sol,BR,1571272891,-20.63,-46.0,73.08,57,65,3.35
87,Bulungu,CD,1571272891,-4.54,18.6,71.11,97,100,3.31
88,Sola,TZ,1571272891,-3.17,33.8,71.94,64,82,6.14
89,Dickinson,US,1571272892,46.88,-102.79,55.99,47,1,8.05
90,Bluff,AU,1571272892,-23.58,149.07,78.3,62,75,12.92
91,Yatou,CM,1571272892,3.63,9.81,72.77,96,78,2.09
92,Vilhena,BR,1571272892,-12.74,-60.15,70.77,93,83,4.98
93,Iqaluit,CA,1571272893,63.75,-68.52,32.0,83,75,4.7
94,Puerto Ayora,EC,1571272893,-0.74,-90.35,71.6,64,46,17.22
95,Karratha,AU,1571272893,-20.74,116.85,77.45,53,0,4.7
96,Abalak,NE,1571272894,15.46,6.28,89.65,20,0,6.7
97,Tuktoyaktuk,CA,1571272894,69.44,-133.03,23.0,85,20,13.87
98,Oussouye,SN,1571272895,12.49,-16.54,80.6,88,44,4.7
99,Hambantota,LK,1571272895,6.12,81.12,79.81,80,100,2.72
100,Presidencia Roque Saenz Pena,AR,1571272895,-26.79,-60.44,55.89,91,88,2.59
101,Pevek,RU,1571272895,69.7,170.27,31.21,79,34,7.26
102,Borba,BR,1571272896,-4.39,-59.59,75.65,85,46,2.0
103,Itaituba,BR,1571272896,-4.26,-55.99,75.4,89,84,2.22
104,Cartagena del Chaira,CO,1571272896,1.33,-74.84,72.57,96,93,2.4
105,Conil,FR,1571272897,44.97,3.72,46.87,84,100,5.68
106,Svetlaya,RU,1571272897,46.54,138.33,41.81,52,0,7.53
107,San Angelo,US,1571272897,31.46,-100.44,68.0,24,1,5.82
108,Ostrovnoy,RU,1571272897,68.05,39.51,30.61,90,89,6.38
109,Saint-Philippe,CA,1571272898,45.36,-73.48,57.0,62,90,9.17
110,Butaritari,KI,1571272898,3.07,172.79,82.18,71,95,4.53
111,Bell Ville,AR,1571272898,-32.63,-62.69,54.36,95,100,3.21
112,Mandan,US,1571272899,46.83,-100.89,46.4,81,1,8.05
113,Sur,OM,1571272899,22.57,59.53,75.6,50,0,2.99
114,Tilichiki,RU,1571272899,60.47,166.1,31.78,72,100,15.08
115,Axim,GH,1571272899,4.87,-2.24,74.32,93,75,2.88
116,Beloha,MG,1571272900,-25.17,45.06,66.2,83,15,14.71
117,Pemberton,AU,1571272900,-34.44,116.03,54.0,95,84,6.27
118,Bredasdorp,ZA,1571272900,-34.53,20.04,62.01,87,0,2.3
119,Rio Grande,BR,1571272900,-32.03,-52.1,63.01,90,100,26.61
120,Broome,GB,1571272901,52.47,1.45,48.0,93,52,3.36
121,Bambous Virieux,MU,1571272901,-20.34,57.76,68.0,87,94,1.01
122,Chicama,PE,1571272902,-7.84,-79.15,64.4,82,90,9.17
123,Ahipara,NZ,1571272902,-35.17,173.16,69.01,79,56,11.78
124,Kerouane,GN,1571272902,12.23,-12.34,70.0,90,96,2.9
125,Paciran,ID,1571272902,-6.9,112.33,81.25,68,96,2.1
126,East London,ZA,1571272903,-33.02,27.91,66.34,78,0,11.63
127,Pizarro,CO,1571272903,4.95,-77.37,79.54,82,39,8.91
128,Imeni Poliny Osipenko,RU,1571272903,52.42,136.49,35.38,50,0,6.02
129,Kampong Thum,KH,1571272904,12.71,104.89,75.6,88,80,7.21
130,Kodiak,US,1571272904,39.95,-94.76,51.01,70,1,0.91
131,Riyadh,SA,1571272905,24.63,46.72,71.6,35,74,2.24
132,New Norfolk,AU,1571272905,-42.78,147.06,57.99,66,75,8.05
133,Paamiut,GL,1571272905,61.99,-49.67,38.1,60,100,14.94
134,Cloquet,US,1571272905,46.72,-92.46,45.0,75,90,4.68
135,Vila Franca do Campo,PT,1571272906,37.72,-25.43,64.4,93,40,12.75
136,Tura,RU,1571272906,64.27,100.22,32.92,94,97,6.46
137,Lexington Park,US,1571272906,38.26,-76.45,59.0,67,90,23.04
138,Saskylakh,RU,1571272906,71.97,114.09,5.07,96,70,8.66
139,Alta Floresta,BR,1571272907,-9.87,-56.08,75.18,80,58,4.98
140,Harnosand,SE,1571272907,62.63,17.94,42.01,93,100,4.7
141,Erzin,TR,1571272907,36.95,36.2,75.99,60,75,4.7
142,Saint George,GR,1571272908,39.45,22.34,59.0,82,0,4.7
143,Necochea,AR,1571272908,-38.55,-58.74,51.01,89,71,4.0
144,Fuerte Olimpo,BR,1571272908,-21.04,-57.87,78.01,67,0,4.76
145,Keetmanshoop,NA,1571272908,-26.57,18.15,75.2,60,100,6.2
146,Padang,ID,1571272909,-0.92,100.36,69.49,94,45,1.31
147,Mahebourg,MU,1571272909,-20.41,57.7,68.0,87,98,1.01
148,Hamilton,CA,1571272909,43.26,-79.87,50.0,87,20,6.93
149,Arraial do Cabo,BR,1571272910,-22.97,-42.02,72.0,90,2,15.42
150,Udachnyy,RU,1571272910,66.42,112.4,33.8,100,90,2.24
151,Tomatlan,MX,1571272910,19.93,-105.25,77.14,96,100,2.81
152,Yar-Sale,RU,1571272910,66.83,70.83,23.74,87,5,14.18
153,Ignacio Zaragoza,MX,1571272911,20.02,-99.32,66.2,59,90,18.34
154,Tiksi,RU,1571272911,71.64,128.87,23.49,96,100,5.53
155,Verkhnyaya Inta,RU,1571272911,65.99,60.32,20.03,90,3,2.08
156,Teya,MX,1571272912,21.05,-89.07,89.01,70,75,4.7
157,Grenada,US,1571272912,33.77,-89.81,55.4,81,1,8.54
158,Togur,RU,1571272912,58.36,82.83,40.62,93,100,8.63
159,Port-Gentil,GA,1571272913,-0.72,8.78,79.05,82,100,9.18
160,Koupela,BF,1571272913,12.18,-0.35,81.12,62,56,8.21
161,Empalme,MX,1571272913,27.96,-110.81,91.99,63,5,11.41
162,Campina Verde,BR,1571272913,-19.54,-49.49,81.88,40,43,5.38
163,Maues,BR,1571272914,-3.38,-57.72,77.79,84,97,1.82
164,Qaanaaq,GL,1571272914,77.48,-69.36,12.49,85,100,11.32
165,Boa Vista,BR,1571272914,2.82,-60.67,77.0,83,40,3.36
166,Dongsheng,CN,1571272914,29.72,112.52,53.08,82,3,6.04
167,Ambilobe,MG,1571272915,-13.19,49.05,74.7,69,0,11.33
168,Hudson Bay,CA,1571272915,52.86,-102.4,36.84,88,100,5.42
169,Mahanoro,MG,1571272915,-19.9,48.8,74.84,78,4,11.61
170,Pirgos,GR,1571272915,35.12,25.72,68.0,88,20,6.93
171,Vanavara,RU,1571272916,60.35,102.28,35.65,96,81,4.59
172,Klaksvik,FO,1571272916,62.23,-6.59,46.4,100,96,1.12
173,Hervey Bay,AU,1571272916,-25.3,152.85,80.6,57,75,24.16
174,Methven,NZ,1571272917,-43.63,171.65,61.0,78,50,6.26
175,Kununurra,AU,1571272917,-15.77,128.74,86.0,51,2,3.36
176,Carnarvon,ZA,1571272917,-30.97,22.13,71.31,11,0,7.91
177,Avarua,CK,1571272917,-21.21,-159.78,78.8,69,87,12.75
178,Krasnogorsk,RU,1571272918,55.82,37.34,50.0,81,37,8.95
179,Concarneau,FR,1571272918,47.88,-3.92,55.0,87,75,2.24
180,Christchurch,NZ,1571272919,-43.53,172.64,62.01,67,24,3.36
181,Saldanha,PT,1571272919,41.42,-6.55,54.5,85,91,9.36
182,Wewak,PG,1571272919,-3.55,143.63,82.22,70,73,5.94
183,Camacha,PT,1571272920,33.08,-16.33,68.0,72,20,6.93
184,Murgab,TM,1571272920,37.5,61.97,53.6,58,0,5.21
185,Port Hardy,CA,1571272920,50.7,-127.42,57.2,62,75,4.7
186,Koregaon,IN,1571272921,17.7,74.16,68.32,94,85,4.34
187,Cidreira,BR,1571272921,-30.17,-50.22,67.39,89,100,26.93
188,Itarema,BR,1571272921,-2.92,-39.92,77.88,76,9,12.53
189,Hithadhoo,MV,1571272922,-0.6,73.08,81.32,80,95,12.8
190,Yabelo,ET,1571272922,4.89,38.09,65.01,81,94,4.51
191,Itoman,JP,1571272922,26.12,127.67,80.6,78,20,11.41
192,Ancud,CL,1571272923,-41.87,-73.83,48.2,76,20,9.17
193,Lagoa,PT,1571272923,37.14,-8.45,60.01,87,17,4.7
194,Aklavik,CA,1571272923,68.22,-135.01,23.0,73,20,16.11
195,Karaton,ID,1571272924,-6.34,106.1,86.0,83,20,2.24
196,Weymouth,US,1571272924,42.22,-70.94,60.01,77,90,12.75
197,Conde,BR,1571272924,-11.81,-37.61,77.49,74,49,14.05
198,Alofi,NU,1571272924,-19.06,-169.92,78.58,81,100,18.36
199,Kaitangata,NZ,1571272925,-46.28,169.85,54.0,58,25,10.0
200,Nuuk,GL,1571272925,64.17,-51.74,32.0,55,100,3.36
201,Punta de Bombon,PE,1571272925,-17.17,-71.79,58.15,89,93,7.72
202,Zhezkazgan,KZ,1571272925,47.8,67.71,40.1,73,25,11.63
203,Songea,TZ,1571272926,-10.68,35.65,70.61,67,63,1.05
204,Talnakh,RU,1571272926,69.49,88.39,14.0,78,40,35.79
205,Zatoka,PL,1571272926,50.04,20.52,52.0,93,2,1.12
206,Altar,MX,1571272926,30.72,-111.84,93.61,17,0,2.42
207,Noumea,NC,1571272927,-22.28,166.46,80.6,44,20,12.75
208,Taltal,CL,1571272927,-25.41,-70.49,53.24,84,0,2.94
209,Malanje,AO,1571272927,-9.54,16.35,65.59,93,79,2.69
210,Palafrugell,ES,1571272928,41.92,3.16,57.0,87,4,2.24
211,Luanda,AO,1571272928,-8.83,13.24,77.0,83,75,4.7
212,Vitim,RU,1571272928,59.44,112.57,33.1,91,100,6.02
213,Clyde River,CA,1571272928,70.47,-68.59,28.4,100,90,10.29
214,Aboso,GH,1571272929,5.36,-1.95,72.39,97,100,2.42
215,Birao,CF,1571272929,10.3,22.78,70.83,94,90,4.01
216,Mbini,GQ,1571272929,1.58,9.62,78.82,83,99,7.19
217,Santa Maria,BR,1571272930,-16.02,-48.01,80.6,36,40,4.7
218,Kavieng,PG,1571272930,-2.57,150.8,82.96,76,99,15.8
219,Minot,US,1571272930,48.23,-101.3,46.99,70,1,6.93
220,Sinnamary,GF,1571272931,5.38,-52.96,82.58,78,30,12.11
221,Bahia Blanca,AR,1571272931,-38.72,-62.27,55.85,71,95,5.77
222,Belmonte,PT,1571272931,40.36,-7.35,61.0,82,88,11.01
223,Fethiye,TR,1571272931,36.62,29.12,62.6,93,40,6.93
224,Kupang,ID,1571272932,-10.16,123.6,86.0,37,20,3.36
225,Lorengau,PG,1571272932,-2.02,147.27,83.5,75,69,10.83
226,Skegness,GB,1571272933,53.14,0.34,44.6,93,1,8.05
227,Bilibino,RU,1571272933,68.06,166.44,18.68,91,99,2.72
228,Jalu,LY,1571272933,29.03,21.55,79.83,31,88,12.32
229,Nome,US,1571272934,30.04,-94.42,66.2,82,75,6.93
230,Ipixuna,BR,1571272934,-1.76,-48.8,77.0,94,40,2.24
231,San Patricio,PY,1571272934,-26.98,-56.83,64.15,97,65,4.13
232,Viransehir,TR,1571272934,37.24,39.76,67.53,47,66,2.73
233,Hay River,CA,1571272935,60.82,-115.79,35.6,93,75,5.82
234,Ilulissat,GL,1571272935,69.22,-51.1,21.2,62,98,5.22
235,Phangnga,TH,1571272935,8.45,98.53,77.0,94,40,1.9
236,Portland,US,1571272936,43.66,-70.25,55.0,81,75,3.36
237,Sinegorye,RU,1571272936,62.09,150.53,10.99,90,60,2.85
238,Lakselv,NO,1571272936,70.05,24.96,21.2,85,0,3.36
239,Glenwood Springs,US,1571272936,39.55,-107.33,69.8,19,1,6.93
240,Lyaskelya,RU,1571272937,61.77,31.02,35.62,96,100,7.85
241,Fortuna,US,1571272937,40.6,-124.16,57.99,93,75,6.93
242,Port Elizabeth,US,1571272937,39.31,-74.98,60.01,76,90,27.51
243,Codrington,AU,1571272938,-28.95,153.24,90.0,45,38,10.29
244,Whyalla,AU,1571272938,-33.04,137.58,59.0,44,0,13.87
245,Sao Joao da Barra,BR,1571272938,-21.64,-41.05,73.38,86,0,13.66
246,Naze,NG,1571272938,5.43,7.07,72.64,96,82,2.38
247,Geraldton,CA,1571272939,49.72,-86.95,37.4,86,75,4.7
248,Burtunay,RU,1571272939,42.99,46.63,51.91,41,41,3.67
249,Santa Ana,MX,1571272939,30.54,-111.12,87.48,23,0,6.63
250,Yulara,AU,1571272939,-25.24,130.99,71.6,19,11,17.22
251,Yol,IN,1571272940,32.18,76.38,63.57,54,0,2.95
252,Kulhudhuffushi,MV,1571272940,6.62,73.07,81.73,72,89,6.06
253,Saint Anthony,US,1571272940,43.97,-111.68,66.2,15,1,6.93
254,Chabahar,IR,1571272941,25.29,60.65,77.74,49,0,2.37
255,Mercedes,UY,1571272941,-33.25,-58.03,60.01,96,100,5.99
256,Faanui,PF,1571272941,-16.48,-151.75,79.92,77,27,12.59
257,Cherskiy,RU,1571272942,68.75,161.3,24.22,93,19,15.87
258,Gat,SN,1571272942,14.69,-16.54,82.4,83,32,4.7
259,Luderitz,NA,1571272942,-26.65,15.16,57.79,82,60,15.82
260,Mnogovershinnyy,RU,1571272942,53.94,139.92,32.09,66,14,6.53
261,Moerai,PF,1571272943,-22.43,-151.33,71.26,82,52,15.16
262,Buraydah,SA,1571272943,26.33,43.97,75.2,38,57,4.7
263,Barranca,PE,1571272943,-10.75,-77.76,62.49,89,24,14.6
264,Henties Bay,NA,1571272944,-22.12,14.28,62.01,90,34,3.0
265,Sao Jose da Coroa Grande,BR,1571272944,-8.9,-35.15,77.86,74,60,13.5
266,Dunedin,NZ,1571272944,-45.87,170.5,52.0,76,36,15.99
267,Pangnirtung,CA,1571272945,66.15,-65.72,30.9,65,100,6.82
268,Yokadouma,CM,1571272945,3.52,15.05,67.86,98,83,1.44
269,Thohoyandou,ZA,1571272945,-22.97,30.46,61.34,63,0,1.82
270,Ribeira Grande,PT,1571272946,38.52,-28.7,61.34,81,68,10.28
271,Leningradskiy,RU,1571272946,69.38,178.42,33.73,78,20,12.01
272,Capitan Bado,PY,1571272946,-23.27,-55.53,76.05,72,66,3.82
273,Havre-Saint-Pierre,CA,1571272946,50.23,-63.6,35.6,80,20,3.36
274,Deputatskiy,RU,1571272947,69.3,139.9,10.06,94,100,3.86
275,Mahibadhoo,MV,1571272947,3.78,72.97,79.16,86,100,11.71
276,Ixtapa,MX,1571272947,20.71,-105.21,87.01,79,90,3.36
277,Port Blair,IN,1571272947,11.67,92.75,83.8,76,100,8.74
278,Wawa,NG,1571272948,9.9,4.41,76.69,87,1,5.03
279,Warmbad,DE,1571272948,50.67,13.08,57.2,62,63,12.75
280,Pasni,PK,1571272948,25.26,63.48,76.06,58,0,3.97
281,San Quintin,PH,1571272949,17.54,120.52,77.7,76,8,4.61
282,Barra Patuca,HN,1571272949,15.8,-84.28,84.24,76,0,20.37
283,Carnaiba,BR,1571272949,-8.7,-37.67,68.68,76,42,11.83
284,Okhotsk,RU,1571272949,59.36,143.24,19.85,49,0,20.14
285,Husavik,CA,1571272950,50.56,-96.99,37.99,93,100,1.01
286,Airai,TL,1571272950,-8.93,125.41,82.47,16,21,4.38
287,Homer,US,1571272950,59.64,-151.54,42.8,86,90,6.93
288,Brae,GB,1571272951,60.4,-1.35,51.8,100,100,18.34
289,Mackay,CA,1571272951,53.65,-115.58,50.0,71,75,4.7
290,Qadirpur Ran,PK,1571272951,30.29,71.67,75.2,73,0,5.53
291,Narsaq,GL,1571272952,60.91,-46.05,32.0,45,99,3.36
292,Cockburn Town,TC,1571272952,21.46,-71.14,83.64,66,27,4.8
293,Hwange,ZW,1571272952,-18.35,26.5,68.5,34,0,3.24
294,Haines Junction,CA,1571272953,60.75,-137.51,25.57,89,93,4.02
295,Pervomayskoye,RU,1571272953,57.07,86.23,44.98,82,100,21.28
296,Grand Gaube,MU,1571272953,-20.01,57.66,68.0,87,73,1.01
297,Magnolia,US,1571272953,33.27,-93.24,59.0,81,1,2.83
298,Quthing,LS,1571272954,-30.4,27.7,58.77,29,0,4.86
299,Pochutla,MX,1571272954,15.74,-96.47,75.99,88,90,6.93
300,Ust-Tsilma,RU,1571272954,65.44,52.15,29.52,96,87,3.11
301,Hofn,IS,1571272954,64.25,-15.21,45.1,82,100,42.57
302,Balkanabat,TM,1571272955,39.51,54.36,57.47,31,0,2.15
303,Bilma,NE,1571272955,18.69,12.92,84.11,16,0,4.38
304,Nsukka,NG,1571272955,6.86,7.39,70.83,97,67,3.23
305,Litovko,RU,1571272956,49.24,135.18,38.52,49,0,2.21
306,Nanortalik,GL,1571272956,60.14,-45.24,38.8,61,86,8.57
307,Chhindwara,IN,1571272956,22.06,78.94,64.94,78,42,4.31
308,Linhares,BR,1571272956,-19.38,-40.06,68.31,88,13,1.73
309,Bosaso,SO,1571272957,11.28,49.18,81.86,73,19,7.67
310,Las Animas,US,1571272957,38.07,-103.22,71.6,11,1,5.82
311,Jiujiang,CN,1571272957,29.73,115.99,57.09,68,100,5.35
312,Mantsala,FI,1571272957,60.63,25.32,39.99,100,90,12.75
313,Huntington,US,1571272958,40.87,-73.43,64.0,93,90,17.22
314,Beira,ES,1571272958,43.2,-8.36,64.0,100,75,4.7
315,Chumikan,RU,1571272958,54.72,135.31,35.64,48,0,14.05
316,Sydney,AU,1571272959,-33.85,151.22,82.99,39,29,5.82
317,Puerto Colombia,CO,1571272959,10.99,-74.96,75.2,94,75,8.05
318,Margate,AU,1571272959,-43.03,147.26,57.99,66,75,8.05
319,Eyl,SO,1571272959,7.98,49.82,80.35,77,60,8.08
320,Kamaishi,JP,1571272960,39.28,141.86,51.8,81,75,3.36
321,Tral,IN,1571272960,33.93,75.11,47.97,78,2,0.93
322,Vao,EE,1571272960,59.1,26.19,44.85,98,95,5.41
323,La Tuque,CA,1571272960,47.44,-72.79,48.07,70,100,11.38
324,Laguna,BZ,1571272961,16.17,-88.94,84.2,74,40,3.92
325,Saint-Georges,CA,1571272961,46.12,-70.67,51.01,65,100,4.0
326,Champerico,MX,1571272961,16.38,-93.6,77.0,88,90,2.95
327,Nampula,MZ,1571272962,-15.12,39.26,71.6,83,20,10.29
328,Vanimo,PG,1571272962,-2.67,141.3,80.53,73,100,8.45
329,Prieska,ZA,1571272962,-29.67,22.74,67.77,22,0,2.79
330,Mujiayingzi,CN,1571272963,42.12,118.78,46.71,24,95,2.14
331,Lodja,CD,1571272963,-3.52,23.6,67.82,99,94,0.56
332,Chuy,UY,1571272963,-33.69,-53.46,59.43,93,100,13.29
333,Kalmunai,LK,1571272963,7.42,81.82,81.3,75,100,10.63
334,Batemans Bay,AU,1571272964,-35.71,150.18,70.0,63,0,15.01
335,Najran,SA,1571272964,17.54,44.22,71.6,33,40,4.68
336,Smolenka,PL,1571272964,54.15,22.76,51.28,82,63,12.89
337,Ardakan,IR,1571272965,32.31,54.02,59.0,28,0,2.24
338,Kaeo,NZ,1571272965,-35.1,173.78,69.01,79,14,8.36
339,Ishigaki,JP,1571272965,24.34,124.16,78.8,83,40,14.99
340,Pittsburg,US,1571272966,38.02,-121.89,75.2,20,1,9.17
341,Mamakan,RU,1571272966,57.82,114.02,34.03,95,100,1.39
342,Bandarbeyla,SO,1571272967,9.49,50.81,82.49,78,84,16.73
343,Sabang,PH,1571272967,13.8,121.11,84.0,78,68,4.0
344,Kirakira,SB,1571272967,-10.46,161.92,81.93,70,29,10.15
345,Palana,RU,1571272967,59.08,159.95,29.59,96,100,5.67
346,Progreso,UY,1571272968,-34.68,-56.22,61.0,87,100,13.87
347,Rassvet,RU,1571272968,49.11,45.47,46.29,65,0,8.81
348,Kampene,CD,1571272968,-3.59,26.67,67.39,99,99,2.45
349,Maltahohe,NA,1571272968,-24.83,16.98,70.09,42,100,15.77
350,Esperance,AU,1571272969,-33.86,121.89,59.0,58,0,14.99
351,Dumai,ID,1571272969,1.68,101.45,76.05,90,70,2.09
352,Hirakud,IN,1571272970,21.53,83.9,72.09,89,39,3.88
353,Muisne,EC,1571272970,0.61,-80.02,74.7,88,73,8.6
354,Casper,US,1571272970,42.87,-106.31,66.2,14,1,11.41
355,Parabel,RU,1571272971,58.71,81.5,39.69,91,100,8.09
356,Macherla,IN,1571272971,16.48,79.44,72.7,96,48,1.04
357,Jumla,NP,1571272971,29.28,82.18,39.78,88,14,3.89
358,Black River,JM,1571272971,18.03,-77.85,84.2,79,20,4.7
359,Dryden,CA,1571272972,49.79,-92.84,37.4,74,90,6.93
360,Grindavik,IS,1571272972,63.84,-22.43,42.8,87,53,11.41
361,Cabo San Lucas,MX,1571272972,22.89,-109.91,86.0,78,40,13.87
362,Mildura,AU,1571272973,-34.18,142.16,61.0,41,0,14.99
363,Solnechnyy,RU,1571272973,50.72,136.64,36.73,43,0,1.95
364,Halifax,CA,1571272973,44.65,-63.58,46.99,81,75,5.82
365,Guane,CU,1571272974,22.2,-84.09,82.6,74,26,5.51
366,Uinskoye,RU,1571272974,56.88,56.58,29.64,89,3,7.2
367,La Sarre,CA,1571272974,48.8,-79.2,38.98,95,100,14.06
368,Pedernales,EC,1571272975,0.07,-80.05,72.81,89,79,5.01
369,Zhanaozen,KZ,1571272975,43.35,52.85,57.22,60,43,11.74
370,Inta,RU,1571272975,66.04,60.13,21.96,88,8,0.77
371,Boulsa,BF,1571272976,12.66,-0.57,83.98,52,96,9.62
372,Cankuzo,BI,1571272976,-3.22,30.55,62.29,88,87,0.84
373,Entre Rios,BR,1571272976,-11.94,-38.08,66.83,95,79,2.16
374,Dauphin,CA,1571272976,51.15,-100.04,35.6,93,1,12.75
